stop_id,best_view,selected_image_filename,final_image_path,bus_stop_visible,bus_stop_visibility_confidence,stop_surface,landing_type,sidewalk_connection,landing_pad,shelter_number,bench_number,trash_can_number,street_lighting,notes
1072,right,1072_Old_Chapel_Hill_Rd_at_Garrett_Rd_EB_2025-01_right_heading-132.jpg,final_images/1072_Old_Chapel_Hill_Rd_at_Garrett_Rd_EB_2025-01_right_heading-132.jpg,Yes,1.0,Grass,Unpaved_Grass_Strip_And_Sidewalk,No,NA,0,0,0,No,"The bus stop has a sign pole located next to a sidewalk, but there is a grass strip between the sidewalk and the curb, meaning there is no direct paved connection to the road."
1074,left,1074_University_Dr_at_American_Red_Cross_2025-01_left_heading-109.jpg,final_images/1074_University_Dr_at_American_Red_Cross_2025-01_left_heading-109.jpg,Yes,0.95,Grass,Unpaved_Grass_Strip_And_Sidewalk,No,NA,0,0,0,No,"The bus stop pole is clearly visible in the left and center views, displaying the stop ID 1074. There is a sidewalk, but it is separated from the curb by a grass strip, meaning there is no direct paved connection to the boarding edge."
1075,center,1075_University_Dr_at_Ivy_Creek_Blvd_2025-01_center_heading-161.jpg,final_images/1075_University_Dr_at_Ivy_Creek_Blvd_2025-01_center_heading-161.jpg,Yes,1.0,Concrete,Paved,Yes,One_door,0,1,0,Yes,The bus stop features a concrete boarding pad with an integrated bench and back panel. A street light pole is located immediately adjacent to the pad.
1105,center,1105_Erwin_Rd_at_Fulton_St_VA_Hospital_2018-06_center_heading-165.jpg,final_images/1105_Erwin_Rd_at_Fulton_St_VA_Hospital_2018-06_center_heading-165.jpg,Yes,0.9,Grass,Unpaved_Grass_Strip_And_Sidewalk,No,NA,1,0,1,No,"The bus stop area features a shelter containing bike racks. A sidewalk runs parallel to the road but is separated from the curb by a grass strip, requiring passengers to cross grass to board."
1406,center,1406_Renaissance_Pkwy_at_Southpoint_Mall_WB_2025-01_center_heading-0.jpg,final_images/1406_Renaissance_Pkwy_at_Southpoint_Mall_WB_2025-01_center_heading-0.jpg,Yes,1.0,Concrete,Paved,Yes,Two_doors,0,0,0,No,"The bus stop is located next to a shopping mall parking lot. A Go Triangle bus is stopped at the curb. There is a bike rack on the sidewalk, but no shelter, bench, or trash can is visible in the center view."
1553,center,1553_Erwin_Rd_at_Towerview_Rd_2025-09_center_heading-151.jpg,final_images/1553_Erwin_Rd_at_Towerview_Rd_2025-09_center_heading-151.jpg,Yes,0.8,Concrete,Paved,Yes,Two_doors,0,0,1,Yes,A paved sidewalk runs along the road. A trash can and a sign pole are visible next to the sidewalk in the center view. A street light is visible in the right view.
1732,left,1732_Stirrup_Creek_at_Twin_Creek_Ct_2026-03_left_heading-116.jpg,final_images/1732_Stirrup_Creek_at_Twin_Creek_Ct_2026-03_left_heading-116.jpg,No,0.9,Grass,Unpaved,NA,NA,0,0,0,No,"No bus stop sign, pole, or amenities are visible in any of the images. The area consists of grass next to a curb with utility markers."
1804,center,1804_Renaissance_Pkwy_at_NC_751_WB_2025-01_center_heading-356.jpg,final_images/1804_Renaissance_Pkwy_at_NC_751_WB_2025-01_center_heading-356.jpg,Yes,1.0,Concrete,Paved,Yes,Two_doors,1,1,1,No,"The bus stop features a shelter with an internal bench, a trash can, and a paved concrete landing area connected directly to the curb. A red shopping cart is left next to the shelter."
1901,left,1901_McFarland_Dr_at_Witherspoon_Blvd_Patterson_Place_Park-and-Ride_2024-06_left_heading-136.jpg,final_images/1901_McFarland_Dr_at_Witherspoon_Blvd_Patterson_Place_Park-and-Ride_2024-06_left_heading-136.jpg,Yes,0.9,Concrete,Paved,Yes,Two_doors,0,0,0,Yes,"A white van blocks much of the direct view of the bus stop, but the bus stop sign/pole and street lighting are visible in the left view, confirming the location. The boarding area is a continuous concrete sidewalk."
1914,left,1914_University_Dr_at_University_Pl_EB_2025-01_left_heading-32.jpg,final_images/1914_University_Dr_at_University_Pl_EB_2025-01_left_heading-32.jpg,Yes,0.9,Grass,Unpaved_Grass_Strip_And_Sidewalk,No,NA,0,0,0,Yes,The bus stop has two sign poles located on the grass strip between the sidewalk and the curb. A street light pole is visible in the background of the left view.
