stop_id,best_view,selected_image_filename,final_image_path,bus_stop_visible,bus_stop_visibility_confidence,stop_surface,landing_type,sidewalk_connection,landing_pad,shelter_number,bench_number,trash_can_number,street_lighting,notes
1072,center,1072_Old_Chapel_Hill_Rd_at_Garrett_Rd_EB_2025-01_center_heading-102.jpg,final_images/1072_Old_Chapel_Hill_Rd_at_Garrett_Rd_EB_2025-01_center_heading-102.jpg,Yes,1.0,Grass,Unpaved_Grass_Strip_And_Sidewalk,No,NA,0,0,0,No,"The bus stop is marked by a standard sign on a metal pole next to the sidewalk. There is a grass strip between the sidewalk and the curb, meaning there is no direct paved connection to the curb."
1074,left,1074_University_Dr_at_American_Red_Cross_2025-01_left_heading-109.jpg,final_images/1074_University_Dr_at_American_Red_Cross_2025-01_left_heading-109.jpg,Yes,0.9,Grass,Unpaved_Grass_Strip_And_Sidewalk,No,NA,0,0,0,No,"The bus stop is marked by a silver metal pole with vertical transit markings located next to the sidewalk. There is a grass strip between the sidewalk and the curb, meaning there is no direct paved connection to the curb."
1075,left,1075_University_Dr_at_Ivy_Creek_Blvd_2025-01_left_heading-131.jpg,final_images/1075_University_Dr_at_Ivy_Creek_Blvd_2025-01_left_heading-131.jpg,Yes,1.0,Concrete,Paved,Yes,One_door,0,1,0,Yes,"The bus stop features a concrete landing pad with an integrated bench and information sign board. A street light is located next to the pad, and it connects to the sidewalk."
1105,center,1105_Erwin_Rd_at_Fulton_St_VA_Hospital_2018-06_center_heading-165.jpg,final_images/1105_Erwin_Rd_at_Fulton_St_VA_Hospital_2018-06_center_heading-165.jpg,Yes,1.0,Grass,Unpaved_Grass_Strip_And_Sidewalk,No,NA,1,0,1,Yes,"The bus stop features a shelter and a trash can. Inside the shelter, there are bike racks instead of a bench. The shelter is on a concrete pad connected to the parking lot, but there is a grass strip between this paved area and the curb of Erwin Rd, meaning passengers must cross grass to board the bus."
1406,right,1406_Renaissance_Pkwy_at_Southpoint_Mall_WB_2025-01_right_heading-30.jpg,final_images/1406_Renaissance_Pkwy_at_Southpoint_Mall_WB_2025-01_right_heading-30.jpg,Yes,1.0,Concrete,Paved,Yes,Two_doors,0,0,0,Yes,"A GoTriangle bus is parked at the bus stop. The right view provides a clear view of the bus, the concrete boarding area, and a street light."
1553,center,1553_Erwin_Rd_at_Towerview_Rd_2025-09_center_heading-151.jpg,final_images/1553_Erwin_Rd_at_Towerview_Rd_2025-09_center_heading-151.jpg,Unclear,0.8,Concrete,Paved,Yes,Two_doors,0,0,1,Yes,"A trash can and a signpole are visible next to the sidewalk, but the sign is not clearly readable as a transit sign, making the bus stop visibility unclear."
1732,left,1732_Stirrup_Creek_at_Twin_Creek_Ct_2026-03_left_heading-116.jpg,final_images/1732_Stirrup_Creek_at_Twin_Creek_Ct_2026-03_left_heading-116.jpg,No,0.9,Grass,Unpaved,NA,NA,0,0,0,No,No bus stop sign or transit-specific markings are visible. Only orange and white utility marker posts are present in the grassy area near the curb.
1804,center,1804_Renaissance_Pkwy_at_NC_751_WB_2025-01_center_heading-356.jpg,final_images/1804_Renaissance_Pkwy_at_NC_751_WB_2025-01_center_heading-356.jpg,Yes,1.0,Concrete,Paved,Yes,Two_doors,1,1,1,No,"The bus stop features a shelter with an integrated bench, a trash can, and a paved concrete landing pad connected to the sidewalk."
1901,right,1901_McFarland_Dr_at_Witherspoon_Blvd_Patterson_Place_Park-and-Ride_2024-06_right_heading-196.jpg,final_images/1901_McFarland_Dr_at_Witherspoon_Blvd_Patterson_Place_Park-and-Ride_2024-06_right_heading-196.jpg,Yes,0.9,Concrete,Paved,Yes,Two_doors,0,0,0,Yes,"The bus stop sign is visible in the left view (blue GoTriangle sign). The right view provides the best view of the boarding area, which consists of a concrete sidewalk directly adjacent to the curb, with street lighting nearby."
1914,left,1914_University_Dr_at_University_Pl_EB_2025-01_left_heading-32.jpg,final_images/1914_University_Dr_at_University_Pl_EB_2025-01_left_heading-32.jpg,Yes,0.8,Grass,Unpaved_Grass_Strip_And_Sidewalk,No,NA,0,0,0,Yes,The bus stop is marked by two thin metal posts with small decals in the grass strip between the sidewalk and the curb. A street light pole is visible nearby.
